Año;Departamento;Municipio;Semana;Mortalidad
2010;05 - Antioquia;05001 - Medellín;1;47
2010;05 - Antioquia;05001 - Medellín;2;30
2010;05 - Antioquia;05001 - Medellín;3;34
2010;05 - Antioquia;05001 - Medellín;4;58
2010;05 - Antioquia;05001 - Medellín;5;31
2010;05 - Antioquia;05001 - Medellín;6;30
2010;05 - Antioquia;05001 - Medellín;7;38
2010;05 - Antioquia;05001 - Medellín;8;41
2010;05 - Antioquia;05001 - Medellín;9;48
2010;05 - Antioquia;05001 - Medellín;10;42
2010;05 - Antioquia;05001 - Medellín;11;37
2010;05 - Antioquia;05001 - Medellín;12;51
2010;05 - Antioquia;05001 - Medellín;13;38
2010;05 - Antioquia;05001 - Medellín;14;39
2010;05 - Antioquia;05001 - Medellín;15;40
2010;05 - Antioquia;05001 - Medellín;16;47
2010;05 - Antioquia;05001 - Medellín;17;39
2010;05 - Antioquia;05001 - Medellín;18;43
2010;05 - Antioquia;05001 - Medellín;19;42
2010;05 - Antioquia;05001 - Medellín;20;44
2010;05 - Antioquia;05001 - Medellín;21;35
2010;05 - Antioquia;05001 - Medellín;22;34
2010;05 - Antioquia;05001 - Medellín;23;39
2010;05 - Antioquia;05001 - Medellín;24;38
2010;05 - Antioquia;05001 - Medellín;25;46
2010;05 - Antioquia;05001 - Medellín;26;40
2010;05 - Antioquia;05001 - Medellín;27;58
2010;05 - Antioquia;05001 - Medellín;28;48
2010;05 - Antioquia;05001 - Medellín;29;48
2010;05 - Antioquia;05001 - Medellín;30;47
2010;05 - Antioquia;05001 - Medellín;31;42
2010;05 - Antioquia;05001 - Medellín;32;43
2010;05 - Antioquia;05001 - Medellín;33;58
2010;05 - Antioquia;05001 - Medellín;34;48
2010;05 - Antioquia;05001 - Medellín;35;45
2010;05 - Antioquia;05001 - Medellín;36;44
2010;05 - Antioquia;05001 - Medellín;37;46
2010;05 - Antioquia;05001 - Medellín;38;58
2010;05 - Antioquia;05001 - Medellín;39;56
2010;05 - Antioquia;05001 - Medellín;40;43
2010;05 - Antioquia;05001 - Medellín;41;51
2010;05 - Antioquia;05001 - Medellín;42;49
2010;05 - Antioquia;05001 - Medellín;43;49
2010;05 - Antioquia;05001 - Medellín;44;50
2010;05 - Antioquia;05001 - Medellín;45;49
2010;05 - Antioquia;05001 - Medellín;46;43
2010;05 - Antioquia;05001 - Medellín;47;64
2010;05 - Antioquia;05001 - Medellín;48;52
2010;05 - Antioquia;05001 - Medellín;49;42
2010;05 - Antioquia;05001 - Medellín;50;49
2010;05 - Antioquia;05001 - Medellín;51;62
2010;05 - Antioquia;05001 - Medellín;52;45
2010;05 - Antioquia;05001 - Medellín;53;12
2010;08 - Atlántico;08001 - Barranquilla;1;13
2010;08 - Atlántico;08001 - Barranquilla;2;19
2010;08 - Atlántico;08001 - Barranquilla;3;10
2010;08 - Atlántico;08001 - Barranquilla;4;14
2010;08 - Atlántico;08001 - Barranquilla;5;17
2010;08 - Atlántico;08001 - Barranquilla;6;20
2010;08 - Atlántico;08001 - Barranquilla;7;27
2010;08 - Atlántico;08001 - Barranquilla;8;29
2010;08 - Atlántico;08001 - Barranquilla;9;23
2010;08 - Atlántico;08001 - Barranquilla;10;24
2010;08 - Atlántico;08001 - Barranquilla;11;18
2010;08 - Atlántico;08001 - Barranquilla;12;18
2010;08 - Atlántico;08001 - Barranquilla;13;19
2010;08 - Atlántico;08001 - Barranquilla;14;16
2010;08 - Atlántico;08001 - Barranquilla;15;19
2010;08 - Atlántico;08001 - Barranquilla;16;19
2010;08 - Atlántico;08001 - Barranquilla;17;7
2010;08 - Atlántico;08001 - Barranquilla;18;18
2010;08 - Atlántico;08001 - Barranquilla;19;21
2010;08 - Atlántico;08001 - Barranquilla;20;19
2010;08 - Atlántico;08001 - Barranquilla;21;9
2010;08 - Atlántico;08001 - Barranquilla;22;17
2010;08 - Atlántico;08001 - Barranquilla;23;21
2010;08 - Atlántico;08001 - Barranquilla;24;25
2010;08 - Atlántico;08001 - Barranquilla;25;27
2010;08 - Atlántico;08001 - Barranquilla;26;31
2010;08 - Atlántico;08001 - Barranquilla;27;29
2010;08 - Atlántico;08001 - Barranquilla;28;26
2010;08 - Atlántico;08001 - Barranquilla;29;23
2010;08 - Atlántico;08001 - Barranquilla;30;29
2010;08 - Atlántico;08001 - Barranquilla;31;25
2010;08 - Atlántico;08001 - Barranquilla;32;20
2010;08 - Atlántico;08001 - Barranquilla;33;18
2010;08 - Atlántico;08001 - Barranquilla;34;28
2010;08 - Atlántico;08001 - Barranquilla;35;20
2010;08 - Atlántico;08001 - Barranquilla;36;18
2010;08 - Atlántico;08001 - Barranquilla;37;20
2010;08 - Atlántico;08001 - Barranquilla;38;12
2010;08 - Atlántico;08001 - Barranquilla;39;18
2010;08 - Atlántico;08001 - Barranquilla;40;26
2010;08 - Atlántico;08001 - Barranquilla;41;20
2010;08 - Atlántico;08001 - Barranquilla;42;22
2010;08 - Atlántico;08001 - Barranquilla;43;20
2010;08 - Atlántico;08001 - Barranquilla;44;13
2010;08 - Atlántico;08001 - Barranquilla;45;15
2010;08 - Atlántico;08001 - Barranquilla;46;21
2010;08 - Atlántico;08001 - Barranquilla;47;20
2010;08 - Atlántico;08001 - Barranquilla;48;20
2010;08 - Atlántico;08001 - Barranquilla;49;24
2010;08 - Atlántico;08001 - Barranquilla;50;19
2010;08 - Atlántico;08001 - Barranquilla;51;22
2010;08 - Atlántico;08001 - Barranquilla;52;19
2010;08 - Atlántico;08001 - Barranquilla;53;1
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;1;92
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;2;97
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;3;92
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;4;92
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;5;105
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;6;87
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;7;73
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;8;80
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;9;106
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;10;88
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;11;102
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;12;87
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;13;81
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;14;106
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;15;92
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;16;96
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;17;111
2010;11 - Bogotá, D.C.;11111 - Bogotá, D.C.;18;109
