year(Fecha);Ciudad;Semana;RH;PS,,
2010;Barranquilla;1;77,97714286;100,5128571
2010;Bogota;1;54,26714286;82,19857143
2010;Cali;1;72,21;79,13428571
2010;Medellin;1;81,04;81,51428571
2011;Bogota;1;84,85714286;82,14428571
2011;Cali;1;89,05142857;79,9857143
2011;Medellin;1;89,87142857;81,43142857
2011;Barranquilla;1;81,23428571;100,5228571
2012;Bogota;1;84,74428571;82,34428571
2012;Cali;1;89,51714286;79,29
2012;Medellin;1;91,45428571;81,60571429
2012;Barranquilla;1;84,17428571;100,7242857
2013;Bogota;1;73,98142857;82,26857143
2013;Cali;1;80,85571429;79,20571429
2013;Medellin;1;84,60285714;81,57142857
2013;Barranquilla;1;76,59285714;100,5071429
2014;Bogota;1;82,60571429;82,20142857
2014;Cali;1;87,28714286;79,15
2014;Medellin;1;91,70285714;81,47714286
2014;Barranquilla;1;78,08428571;100,4457143
2015;Bogota;1;71,60857143;82,29428571
2015;Cali;1;76,67571429;79,19
2015;Barranquilla;1;74,77428571;100,58
2016;Bogota;1;69,99;82,31857143
2016;Cali;1;82,48857143;79,26714286
2016;Medellin;1;87,88142857;81,59428571
2016;Barranquilla;1;80,45285714;100,57
2017;Bogota;1;77,89;82,27
2017;Medellin;1;89,92;81,54857143
2017;Barranquilla;1;83,49571429;100,5357143
2018;Bogota;1;86,4;82,38428571
2018;Cali;1;91,23142857;79,31142857
2018;Medellin;1;89,36285714;81,66714286
2018;Barranquilla;1;85,71142857;100,6957143
2019;Bogota;1;76,04857143;82,28142857
2019;Cali;1;80,95285714;79,20142857
2019;Medellin;1;84,42428571;81,57142857
2019;Barranquilla;1;78,29428571;100,5257143
2020;Bogota;1;82,50714286;82,4
2020;Cali;1;87,85571429;79,34
2020;Medellin;1;86,42571429;81,69571429
2020;Barranquilla;1;75,83285714;100,7457143
2010;Barranquilla;2;75,57;100,5871429
2010;Cali;2;75,53142857;79,20142857
2010;Medellin;2;81,06285714;81,55428571
2011;Cali;2;86,58571429;79,10142857
2011;Medellin;2;88,14285714;81,45285714
2011;Barranquilla;2;84,70428571;100,4357143
2012;Bogota;2;80,91714286;82,26142857
2012;Cali;2;87,86285714;79,21
2012;Medellin;2;89,10571429;81,54714286
2012;Barranquilla;2;83,56142857;100,5728571
2013;Cali;2;85,65142857;79,12571429
2013;Medellin;2;86,22;81,48285714
2013;Barranquilla;2;75,68571429;100,4671429
2014;Bogota;2;78,81857143;82,30142857
2014;Cali;2;86,95285714;79,22714286
2014;Medellin;2;88,44857143;81,57571429
2014;Barranquilla;2;73,61428571;100,5757143
2015;Cali;2;80,39428571;79,2
2015;Medellin;2;83,74285714;81,57
2015;Barranquilla;2;79,60428571;100,5428571
2016;Bogota;2;73,11142857;82,32714286
2016;Cali;2;87,51428571;79,31
2016;Medellin;2;87,24285714;81,63571429
2016;Barranquilla;2;75,96;100,6671429
2017;Bogota;2;83,09857143;82,3
2017;Cali;2;88,76571429;79,21714286
2017;Medellin;2;89,11857143;81,55428571
2017;Barranquilla;2;78,94285714;100,7371429
2018;Bogota;2;84,57857143;82,32428571
2018;Cali;2;89,36;79,26571429
2018;Medellin;2;89,53571429;81,60571429
2018;Barranquilla;2;79,83285714;100,62
2019;Bogota;2;83,41428571;82,37428571
2019;Medellin;2;89,69142857;81,66142857
2019;Barranquilla;2;77,38142857;100,8257143
2020;Bogota;2;74,37714286;82,25428571
2020;Cali;2;78,73714286;79,15
2020;Medellin;2;81,91714286;81,54428571
2020;Barranquilla;2;72,93714286;100,5342857
2010;Barranquilla;3;75,62;100,4571429
2010;Bogota;3;52,64285714;82,25714286
2010;Cali;3;70,94714286;79,20285714
2010;Medellin;3;79,22285714;81,55714286
2011;Bogota;3;80,79571429;82,15857143
2011;Cali;3;86,44285714;79,11571429
2011;Medellin;3;88,50571429;81,44285714
2011;Barranquilla;3;83,14285714;100,4585714
2012;Bogota;3;83,04428571;82,29
2012;Cali;3;90,60571429;79,21285714
2012;Medellin;3;90,28714286;81,54857143
2012;Barranquilla;3;79,88;100,6971429
2013;Bogota;3;81,55428571;82,22714286
2013;Cali;3;85,65857143;79,17714286
2013;Medellin;3;89,38285714;81,50857143
2013;Barranquilla;3;75,99285714;100,6
2014;Bogota;3;79,22285714;82,26857143
2014;Medellin;3;88,82714286;81,54142857
2014;Barranquilla;3;77,03;100,5314286
2015;Cali;3;87,86714286;79,28142857
2015;Medellin;3;89,72857143;81,62857143
2015;Barranquilla;3;79,99714286;100,6628571
2016;Cali;3;79,25285714;79,26285714
2016;Medellin;3;77,79142857;81,61
2016;Barranquilla;3;76,65;100,6128571
2017;Bogota;3;84,70428571;82,31
2017;Cali;3;89,70428571;79,25
2017;Medellin;3;89,34;81,57285714
2018;Bogota;3;79,47;82,25857143
2018;Cali;3;87,50285714;79,20142857
2018;Medellin;3;89,46714286;81,55571429
2019;Bogota;3;75,68428571;82,32571429
2019;Cali;3;81,25285714;79,25428571
2019;Barranquilla;3;77,42571429;100,6728571
2020;Bogota;3;78,02857143;82,26714286
2020;Cali;3;82,48714286;79,19571429
2020;Medellin;3;86,45;81,55714286
2020;Barranquilla;3;77,53428571;100,4714286
2010;Bogota;4;63,69285714;82,17571429
2010;Medellin;4;87,45;81,47
2011;Bogota;4;77,47857143;82,16857143
2011;Medellin;4;86,60285714;81,45285714
2012;Bogota;4;85,00142857;82,21571429
2012;Medellin;4;89,85;81,48714286
2012;Barranquilla;4;79,60142857;100,6171429
2013;Bogota;4;78,38;82,35857143
2013;Cali;4;84,59142857;79,30857143
2013;Medellin;4;87,63142857;81,64857143
2013;Barranquilla;4;76,73142857;100,73
2014;Bogota;4;80,18857143;82,25571429
2014;Cali;4;87,2;79,2
2014;Medellin;4;88,63428571;81,52428571
2014;Barranquilla;4;73,95;100,6028571
2015;Medellin;4;88,81571429;81,56571429
2015;Barranquilla;4;77,09142857;100,6328571
2016;Bogota;4;62,65571429;82,35
2016;Cali;4;77,01571429;79,29142857
2016;Medellin;4;77,67571429;81,63428571
2016;Barranquilla;4;74,56;100,6514286
2017;Bogota;4;77,55285714;82,38714286
2017;Cali;4;85,60571429;79,32142857
2017;Medellin;4;85,21857143;81,67
2017;Barranquilla;4;77,17714286;100,7942857
2018;Bogota;4;76,26;82,12571429
2018;Cali;4;84,85571429;79,5428571
2018;Medellin;4;87,00285714;81,41857143
2018;Barranquilla;4;76,27142857;100,38
2019;Bogota;4;76,26142857;82,29
2019;Cali;4;81,21;79,21285714
2019;Medellin;4;87,05428571;81,55428571
2019;Barranquilla;4;76,83571429;100,5414286
2020;Bogota;4;84,89;82,42142857
2020;Cali;4;88,70714286;79,38142857
2020;Medellin;4;88,33714286;81,70285714
2020;Barranquilla;4;80,59285714;100,8371429
2010;Barranquilla;5;74,97142857;100,2314286
2010;Bogota;5;54,34571429;82,5
2010;Cali;5;71,83857143;79,2571429
2010;Medellin;5;81,74;81,36428571
2011;Bogota;5;77,24142857;82,29285714
2011;Cali;5;83,33714286;79,21857143
2011;Medellin;5;87,58;81,56285714
2011;Barranquilla;5;79,26857143;100,6257143
2012;Bogota;5;79,73;82,11285714
2012;Medellin;5;90,36142857;81,39142857
2012;Barranquilla;5;77,12571429;100,4485714
2013;Bogota;5;78,97;82,24571429
2013;Cali;5;84,49571429;79,19571429
2013;Barranquilla;5;74,73428571;100,5842857
2014;Bogota;5;79,80428571;82,16571429
2014;Cali;5;86,63571429;79,12857143
2014;Medellin;5;89,82571429;81,45
2014;Barranquilla;5;71,70428571;100,4671429
2015;Bogota;5;76,72142857;82,25142857
2015;Cali;5;82,09857143;79,17857143
2015;Medellin;5;87,82285714;81,53285714
2015;Barranquilla;5;74,76142857;100,5257143
2016;Bogota;5;62,25571429;82,29857143
2016;Cali;5;78,23857143;79,25428571
2016;Medellin;5;76,20571429;81,58142857
2016;Barranquilla;5;71,76714286;100,6257143
2017;Cali;5;84,39285714;79,23714286
2017;Medellin;5;88,70142857;81,58
2017;Barranquilla;5;78,48714286;100,6185714
2018;Bogota;5;80,29857143;82,11
2018;Cali;5;87,79571429;79,5285714
2018;Medellin;5;87,69428571;81,38285714
2018;Barranquilla;5;75,50142857;100,4242857
2019;Bogota;5;79,44;82,27714286
2019;Medellin;5;86,76285714;81,55857143
2019;Barranquilla;5;74,56428571;100,6342857
2020;Bogota;5;75,25428571;82,37
2020;Cali;5;84,90571429;79,31857143
2020;Medellin;5;83,62714286;81,67285714
2020;Barranquilla;5;74,90285714;100,66
2010;Barranquilla;6;78,16571429;100,4057143
2010;Bogota;6;63,60714286;82,15571429
2010;Cali;6;82,42428571;79,15428571
2010;Medellin;6;87,51714286;81,46428571
2011;Barranquilla;6;78,95142857;100,57
2011;Bogota;6;84,03428571;82,21285714
2011;Cali;6;89,54142857;79,14428571
2011;Medellin;6;88,86428571;81,50571429
2012;Bogota;6;81,88142857;82,24142857
2012;Cali;6;88,43571429;79,19142857
2012;Medellin;6;90,04285714;81,53285714
2012;Barranquilla;6;82,11142857;100,5385714
2013;Bogota;6;85,93;82,27285714
2013;Medellin;6;92,18142857;81,53285714
2013;Barranquilla;6;75,18857143;100,6614286
2014;Bogota;6;79,65571429;82,19571429
2014;Cali;6;85,82428571;79,15285714
2014;Medellin;6;90,02285714;81,48428571
2014;Barranquilla;6;74,65428571;100,4771429
2015;Bogota;6;82,85857143;82,31
2015;Cali;6;88,11857143;79,26142857
2015;Medellin;6;91,09142857;81,58428571
2015;Barranquilla;6;77,25428571;100,6628571
2016;Bogota;6;65,52285714;82,3
2016;Cali;6;78,04;79,24
2016;Medellin;6;78,23;81,57714286
2016;Barranquilla;6;74,27857143;100,6114286
2017;Bogota;6;67,63857143;82,27857143
2017;Cali;6;80,46428571;79,22142857
2017;Medellin;6;82,83142857;81,57285714
2017;Barranquilla;6;77,00142857;100,5757143
2018;Bogota;6;79,52;82,21142857
2018;Cali;6;87,59285714;79,15428571
2018;Medellin;6;86,98714286;81,47714286
2019;Bogota;6;78,93428571;82,19571429
2019;Cali;6;86;79,13857143,
2019;Medellin;6;87,80571429;81,48
